stateCode,stateNameEnglish,localBodyCode,localBodyNameEnglish,localBodyTypeName,pincode
29,Karnataka,276470,Hagaribommanahalli,Municipality,583212
5,Uttarakhand,299526,Imlikheda,"Town Panchayat",247667
8,Rajasthan,300345,Rishabhdeo,"Town Panchayat",313802
8,Rajasthan,301416,Raipur,Municipality,313203
8,Rajasthan,293844,"Greater Jaipur","Municipal Corporations",302013
8,Rajasthan,293844,"Greater Jaipur","Municipal Corporations",302016
8,Rajasthan,293844,"Greater Jaipur","Municipal Corporations",302017
8,Rajasthan,293844,"Greater Jaipur","Municipal Corporations",302022
8,Rajasthan,293844,"Greater Jaipur","Municipal Corporations",302027
8,Rajasthan,248736,"Jaipur Heritage","Municipal Corporations",302005
8,Rajasthan,248736,"Jaipur Heritage","Municipal Corporations",302003
8,Rajasthan,248736,"Jaipur Heritage","Municipal Corporations",302033
8,Rajasthan,293843,Jodhpur-North,"Municipal Corporations",342026
8,Rajasthan,293843,Jodhpur-North,"Municipal Corporations",342304
8,Rajasthan,248760,Jodhpur-South,"Municipal Corporations",342015
29,Karnataka,276539,Attibele,"Town Municipal Council",562107
29,Karnataka,299169,Bashettihalli,"Town Panchayat",562163
8,Rajasthan,301462,Ponkh,"Town Panchayat",313325
8,Rajasthan,299940,Raniwada,"Town Panchayat",328024
8,Rajasthan,300050,Semari,"Town Panchayat",313325
8,Rajasthan,299939,Gudhagorji,"Town Panchayat",328024
8,Rajasthan,248847,Kaithoon,"Town Panchayat",328027
8,Rajasthan,301449,"Maharana Pratap Nagar Palika Sarada-Chawand","Town Panchayat",313325
8,Rajasthan,301458,Mubarikpur,"Town Panchayat",328027
8,Rajasthan,301458,Mubarikpur,"Town Panchayat",301025
8,Rajasthan,302223,Sayla,Municipality,313203
36,Telangana,276412,Boduppal,"Municipal Corporations",500092
36,Telangana,276411,Perrzadiguda,"Municipal Corporations",500098
3,Punjab,277198,"Arniwala Shekh Suban","Town Panchayat",152124
3,Punjab,248378,Barnala,Municipality,148101
3,Punjab,248377,Bhadaur,Municipality,148102
3,Punjab,248298,Bhogpur,Municipality,144201
3,Punjab,248388,Cheema,"Town Panchayat",148029
3,Punjab,248300,Dasua,Municipality,248303
3,Punjab,248384,Dhuri,Municipality,148024
3,Punjab,248337,Doraha,Municipality,141421
3,Punjab,248364,Goniana,Municipality,151201
3,Punjab,248260,Gurdaspur,Municipality,143521
3,Punjab,248306,Hariana,Municipality,248303
3,Punjab,248296,Jalandhar,"Municipal Corporations",144001
3,Punjab,248334,Khanna,Municipality,141401
3,Punjab,248361,"Kot Kapura",Municipality,151204
3,Punjab,248385,Longowal,Municipality,148106
3,Punjab,274218,Nadala,"Town Panchayat",144624
3,Punjab,277196,Nangal,Municipality,140124
3,Punjab,262988,"Nihal Singh Wala","Town Panchayat",142055
3,Punjab,277202,"Norat Jamal Singh","Town Panchayat",145026
3,Punjab,248370,Raman,Municipality,151301
3,Punjab,248332,Samrala,Municipality,141114
3,Punjab,248372,Sardulgarh,"Town Panchayat",151507
3,Punjab,248325,"S.A.S.Nagar - Mohali","Municipal Corporations",160062
3,Punjab,248325,"S.A.S.Nagar - Mohali","Municipal Corporations",140603
3,Punjab,248309,"Sham Chaurasi",Municipality,248303
3,Punjab,248285,"Sultanpur Lodhi",Municipality,144626
3,Punjab,248302,"Urmar Tanda",Municipality,248303
4,Chandigarh,276386,Chandigarh,"Municipal Corporations",160003
4,Chandigarh,276386,Chandigarh,"Municipal Corporations",160018
4,Chandigarh,276386,Chandigarh,"Municipal Corporations",160020
4,Chandigarh,276386,Chandigarh,"Municipal Corporations",160023
4,Chandigarh,276386,Chandigarh,"Municipal Corporations",160030
4,Chandigarh,276386,Chandigarh,"Municipal Corporations",160101
4,Chandigarh,276386,Chandigarh,"Municipal Corporations",160102
5,Uttarakhand,262902,Augustmuni,"Town Panchayat",246421
5,Uttarakhand,259826,Berinag,Municipality,262531
5,Uttarakhand,248414,"Chamoli Gopeshwar",Municipality,246401
5,Uttarakhand,248430,Dehradun,"Municipal Corporations",248001
5,Uttarakhand,248448,Dwarahat,"Town Panchayat",263653
5,Uttarakhand,248411,Gangotri,"Town Panchayat",249136
5,Uttarakhand,301881,Guptkashi,"Town Panchayat",246439
5,Uttarakhand,248459,Haldwani-Cumkathgodam,"Municipal Corporations",263139
5,Uttarakhand,248459,Haldwani-Cumkathgodam,"Municipal Corporations",263126
5,Uttarakhand,248428,Herbertpur,Municipality,248142
5,Uttarakhand,248450,Lohaghat,Municipality,262524
5,Uttarakhand,301879,Munsyari,"Town Panchayat",262554
5,Uttarakhand,248429,Mussoorie,Municipality,248001
5,Uttarakhand,299528,Nagla,Municipality,263145
5,Uttarakhand,248454,Nainital,Municipality,263001
5,Uttarakhand,259820,Pokhari,"Town Panchayat",246473
5,Uttarakhand,275633,"Selaqui(Central Hope Town)","Town Panchayat",248011
5,Uttarakhand,262858,"Shivalik Nagar",Municipality,249403
5,Uttarakhand,248466,Sultanpur,"Town Panchayat",244720
5,Uttarakhand,248452,Tanakpur,Municipality,262309
5,Uttarakhand,248422,Tehri,Municipality,249001
5,Uttarakhand,299532,Thalisain,"Town Panchayat",246285
5,Uttarakhand,275665,Tharali,"Town Panchayat",246481
5,Uttarakhand,262901,Ukhimath,"Town Panchayat",246469
5,Uttarakhand,248427,Vikasnagar,Municipality,248198
6,Haryana,272866,Barara,Municipality,133201
6,Haryana,248558,Beri,Municipality,124201
6,Haryana,248550,Bhiwani,"Notified Area Council",127021
