state_code,state_name_english,state_name_local,state_census2011_code,district_code,district_name_english,district_name_local,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_name_local,subdistrict_census2011_code,last_updated
8,Rajasthan,"RAJASTHAN                                         ",08,783,"Jaipur (Gramin)","जयपुर (ग्रामीण)",NA,7140,Aandhi,आंधी,00000,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,449,Kachchh,"KACHCHH                                           ",468,3728,Abdasa,,03728,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22,387,Raipur,रायपुर,410,3331,Abhanpur,,03331,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,459,Surat,"SURAT                                             ",492,6518,Adajan,Adajan,00000,2024-10-07
21,Odisha,ODISHA,21,353,Gajapati,"GAJAPATI                                          ",389,3100,Adava,,03100,2024-10-07
36,Telangana,తెలంగాణ,00,514,Nalgonda,నల్గొండ,539,6304,Adavidevulapalli,అడవిదేవులపల్లి,00000,2024-10-07
36,Telangana,తెలంగాణ,00,697,"Yadadri Bhuvanagiri","యదాద్రి భువనగిరి",000,6310,"Adda Guduru",అడ్డగూడూరు,00000,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,411,Jabalpur,जबलपुर,451,7024,Adhartal,"आधारताल ",00000,2024-10-07
20,Jharkhand,झारखंड,20,341,"Saraikela Kharsawan","सरायकेला खरसावां",369,2752,Adityapur(Gamharia),,02752,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,511,Kurnool,"KURNOOL                                           ",552,5271,Adoni,,05271,2024-10-07
18,Assam,"ASSAM                                             ",18,285,Dhubri,"DHUBURI                                           ",301,2006,Agamoni,,02006,2024-10-07
21,Odisha,ODISHA,21,348,Bhadrak,"BHADRAK                                           ",378,2910,Agarpada,,02910,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,444,Dangs,DANGS,489,3921,Ahwa,,03921,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22,379,Janjgir-Champa,"जांजगीर - चाम्पा",405,3278,Akaltara,,03278,2024-10-07
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,121,"Ambedkar Nagar","AMBEDKAR NAGAR                                    ",178,910,Akbarpur,,00910,2024-10-07
1,"Jammu And Kashmir","JAMMU AND KASHMIR",01,5,Jammu,"JAMMU                                             ",021,78,Akhnoor,,00078,2024-10-07
27,Maharashtra,महाराष्ट्र,27,467,Akola,अकोला,501,3991,Akola,अकोला,03991,2024-10-07
13,Nagaland,"NAGALAND                                          ",13,251,Zunheboto,"ZUNHEBOTO                                         ",263,1768,Akuluto,,01768,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,568,Chennai,"CHENNAI                                           ",603,5704,Alandur,,05704,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,581,Perambalur,"PERAMBALUR                                        ",615,5951,Alathur,,00000,2024-10-07
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,120,Prayagraj,PRAYAGRAJ,175,890,Allahabad,,00890,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,87,Alwar,"ALWAR                                             ",104,499,Alwar,,00499,2024-10-07
27,Maharashtra,महाराष्ट्र,27,478,Jalgaon,जळगाव,499,3969,Amalner,अमळनेर,03969,2024-10-07
36,Telangana,తెలంగాణ,00,518,"Ranga Reddy","రంగా రెడ్డి",537,4563,Amangal,అమంగల్,04563,2024-10-07
10,Bihar,"BIHAR                                             ",10,190,Banka,बांका,225,1346,Amarpur,अमरपुर,01346,2024-10-07
21,Odisha,ODISHA,21,370,Rayagada,"RAYAGADA                                          ",396,3172,Ambadala,,03172,2024-10-07
16,Tripura,ত্রিপুরা,16,269,Dhalai,ধলাই,291,6697,Ambassa,আমবাসা,00000,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,568,Chennai,"CHENNAI                                           ",603,5700,Ambattur,,05700,2024-10-07
27,Maharashtra,महाराष्ट्र,27,490,Pune,पुणे,521,4188,Ambegaon,आंबेगाव,04188,2024-10-07
27,Maharashtra,महाराष्ट्र,27,470,Beed,बीड,523,4225,Ambejogai,आंबेजोगाई,04225,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,732,Tirupathur,திருப்பத்தூர்,000,5719,Ambur,,05719,2024-10-07
10,Bihar,"BIHAR                                             ",10,201,Katihar,कटिहार,212,1157,Amdabad,अमदाबाद,01157,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,112,Rajsamand,"RAJSAMAND                                         ",123,641,Amet,,00641,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,568,Chennai,"CHENNAI                                           ",603,7161,Aminjikarai,அமைந்தகரை,00000,2024-10-07
17,Meghalaya,"MEGHALAYA                                         ",17,275,"West Jaintia Hills","WEST JAINTIA HILLS",299,1998,Amlarem,,01998,2024-10-07
3,Punjab,"PUNJAB                                            ",03,30,"Fatehgarh Sahib","FATEHGARH SAHIB                                   ",040,222,Amloh,,00222,2024-10-07
3,Punjab,"PUNJAB                                            ",03,27,Amritsar,"AMRITSAR                                          ",049,256,"Amritsar -I",,00256,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,313,Howrah,"HOWRAH                                            ",341,2399,"Amta - II",,02399,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,744,Anakapalli,Anakapalli,000,4871,Anakapalli,Anakapalli,04871,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,440,Anand,"ANAND                                             ",482,6530,"Anand City",,00000,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,440,Anand,"ANAND                                             ",482,3864,"Anand Rural",,03864,2024-10-07
